url,URLCategory
coe.int,"['government', 'philosophy-and-political-advocacy']"
com.bd,"['search-engines', 'translation']"
com.kh,"['phishing', 'reference-and-research', 'search-engines']"
com.mm,"['WebMail', 'search-engines', 'translation']"
com.np,"['search-engines', 'translation']"
cometchat.io,"['government', 'internet-communications-and-telephony']"
cons.ru,"['Internet_info_custom', 'Legal_custom']"
contentai.ru,"['Business_and_Economy_custom', 'CDN_custom', 'Storage_and_Backup_custom']"
convead.io,"['government', 'internet-communications-and-telephony']"
convers.link,"['internet-communications-and-telephony', 'online-storage-and-backup']"
conviva.com,"['business-and-economy', 'streaming-media']"
core-xp.ru,"['Internet_info_custom', 'Real_Estate_custom']"
ctnsnet.com,"['content-delivery-networks', 'educational-institutions']"
cultreg.ru,"['government', 'travel']"
d-cd.net,"['business-and-economy', 'content-delivery-networks']"
dasreda.ru,"['Business_and_Economy_custom', 'business-and-economy']"
daytimenews.ru,"['newly-registered-domain', 'parked']"
ddxfitness.ru,"['sports', 'web-based-email']"
deeper.eu,"['home-and-garden', 'hunting-and-fishing']"
detmir.st,"['content-delivery-networks', 'shopping']"
devpravo.tech,"['newly-registered-domain', 'parked']"
digitalcombatsimulator.com,"['Games_custom', 'Internet_info_custom', 'games']"
digitaloceanspaces.com,"['content-delivery-networks', 'government']"
dnevnik.ru,"['educational-institutions', 'entertainment-and-arts']"
dobro.ru,"['educational-institutions', 'government']"
docworkspace.com,"['games', 'online-storage-and-backup']"
domru.ru,"['business-and-economy', 'web-based-email']"
donland.ru,"['government', 'web-based-email']"
douban.com,"['online-storage-and-backup', 'social-networking']"
douyin.com,"['search-engines', 'social-networking']"
dvinaland.ru,"['government', 'web-based-email']"
dzcdn.net,"['personal-sites-and-blogs', 'streaming-media']"
dzeninfra.ru,"['Insufficient_Content_custom', 'Internet_Portals_custom', 'Streaming_Media_custom']"
eapteka.ru,"['health-and-medicine', 'web-based-email']"
easebar.com,"['entertainment-and-arts', 'search-engines']"
ebaystatic.com,"['auctions', 'content-delivery-networks']"
edvibe.com,"['Internet_info_custom', 'philosophy-and-political-advocacy']"
efir-net.ru,"['business-and-economy', 'news']"
elementy.ru,"['reference-and-research', 'web-based-email']"
endel.io,"['Internet_info_custom', 'music']"
estp.ru,"['government', 'web-based-email']"
etpu.ru,"['Shopping_custom', 'government']"
etu.ru,"['educational-institutions', 'phishing', 'web-based-email']"
evozi.com,"['proxy-avoidance-and-anonymizers', 'web-based-email']"
exactdn.com,"['adult', 'content-delivery-networks', 'online-storage-and-backup']"
examus.net,"['Internet_info_custom', 'educational-institutions', 'internet-communications-and-telephony']"
exosrv.com,"['adult', 'grayware']"
f1ne.ws,"['content-delivery-networks', 'streaming-media']"
faceit.com,"['games', 'web-based-email']"
famil.ru,"['shopping', 'web-based-email']"
familyspace.ru,"['entertainment-and-arts', 'reference-and-research']"
fanat1k.ru,"['personal-sites-and-blogs', 'sports']"
fastly.net,"['content-delivery-networks', 'home-and-garden', 'streaming-media', 'web-hosting']"
fc2.com,"['streaming-media', 'web-hosting']"
fdfiles.net,"['online-storage-and-backup', 'shareware-and-freeware']"
fhr.ru,"['sports', 'web-based-email']"
fidele-food.ru,"['phishing', 'society']"
fifthstarlabs.io,"['online-storage-and-backup', 'web-based-email']"
fil-it.ru,"['business-and-economy', 'web-based-email']"
fips.ru,"['business-and-economy', 'government']"
firebasedatabase.app,"['search-engines', 'social-networking']"
fishsticksgames.com,"['gambling', 'games']"
flashscore.com,"['gambling', 'sports']"
flixbus.com,"['training-and-tools', 'travel']"
flowfast.io,"['Internet_info_custom', 'Training_and_Tools_custom']"
flowwow.com,"['shopping', 'web-based-email']"
focusrite.com,"['music', 'web-based-email']"
fondkrro.ru,"['Government_custom', 'Real_Estate_custom']"
forgecdn.net,"['content-delivery-networks', 'games']"
forgeofempires.com,"['games', 'web-based-email']"
fortgroup.ru,"['real-estate', 'web-based-email']"
fotki.com,"['online-storage-and-backup', 'social-networking']"
foursquare.com,"['reference-and-research', 'social-networking']"
freehat.cc,"['copyright-infringement', 'entertainment-and-arts']"
fsk.ru,"['real-estate', 'web-based-email']"
fullstacker.ru,"['newly-registered-domain', 'parked']"
game5backend.com,"['content-delivery-networks', 'games']"
gaminatorapp.com,"['games', 'web-hosting']"
gamma.app,"['music', 'society']"
gastreet.com,"['Internet_Portals_custom', 'Society_custom']"
gazprom-neft.ru,"['business-and-economy', 'web-based-email']"
gbu-timiryazevskiy.moscow,"['newly-registered-domain', 'web-hosting']"
geoedge.be,"['business-and-economy', 'content-delivery-networks']"
gge.ru,"['government', 'web-based-email']"
ggs-bfmh.com,"['internet-communications-and-telephony', 'society']"
github.com,"['shareware-and-freeware', 'training-and-tools']"
globus.ru,"['business-and-economy', 'web-based-email']"
glorax.com,"['real-estate', 'web-based-email']"
gluops.com,"['games', 'personal-sites-and-blogs']"
gmail.com,"['WebMail', 'web-based-email']"
goha.ru,"['games', 'personal-sites-and-blogs']"
goo.ne.jp,"['internet-portals', 'web-based-email']"
google.ad,"['reference-and-research', 'search-engines']"
google.ae,"['search-engines', 'translation']"
google.am,"['search-engines', 'translation']"
google.as,"['search-engines', 'translation']"
google.at,"['search-engines', 'translation']"
google.az,"['search-engines', 'translation']"
google.ba,"['search-engines', 'translation']"
google.be,"['reference-and-research', 'search-engines']"
google.bg,"['reference-and-research', 'search-engines', 'translation']"
google.bs,"['reference-and-research', 'search-engines']"
google.by,"['search-engines', 'translation']"
google.ca,"['reference-and-research', 'search-engines', 'translation']"
google.cat,"['reference-and-research', 'search-engines', 'translation']"
google.cg,"['search-engines', 'translation']"
google.ch,"['reference-and-research', 'search-engines']"
google.cl,"['reference-and-research', 'search-engines']"
google.cm,"['search-engines', 'translation']"
google.cn,"['reference-and-research', 'search-engines', 'translation']"
google.co.ao,"['search-engines', 'translation']"
google.co.il,"['search-engines', 'translation']"
google.co.in,"['reference-and-research', 'search-engines', 'translation']"
google.co.jp,"['reference-and-research', 'search-engines']"
google.co.ke,"['search-engines', 'translation']"
google.co.ls,"['search-engines', 'translation']"
google.co.mz,"['search-engines', 'translation']"
google.co.uk,"['search-engines', 'translation']"
google.co.zm,"['search-engines', 'translation']"
google.com,"['Government_custom', 'Internet_info_custom', 'Personal_Sites_and_Blogs_custom', 'Proxy_and_Anonymizers_custom', 'Training_and_Tools_custom', 'WebMail', 'auctions', 'business-and-economy', 'content-delivery-networks', 'cryptocurrency', 'gambling', 'hacking', 'home-and-garden', 'internal-resource-search', 'internet-communications-and-telephony', 'legal', 'news', 'online-storage-and-backup', 'personal-sites-and-blogs', 'philosophy-and-political-advocacy', 'proxy-avoidance-and-anonymizers', 'reference-and-research', 'religion', 'search-engines', 'shareware-and-freeware', 'shopping', 'social-networking', 'stock-advice-and-tools', 'streaming-media', 'training-and-tools', 'translation', 'weapons', 'web-based-email']"
google.com.au,"['reference-and-research', 'search-engines']"
google.com.bh,"['search-engines', 'translation']"
google.com.br,"['search-engines', 'translation']"
google.com.by,"['search-engines', 'translation']"
google.com.co,"['search-engines', 'translation']"
google.com.cy,"['search-engines', 'translation']"
google.com.do,"['search-engines', 'translation']"
google.com.gh,"['search-engines', 'translation']"
google.com.gr,"['search-engines', 'translation']"
google.com.gt,"['search-engines', 'translation']"
google.com.hk,"['search-engines', 'translation']"
google.com.lb,"['search-engines', 'translation']"
google.com.ly,"['search-engines', 'translation']"
google.com.mt,"['search-engines', 'translation']"
google.com.mx,"['reference-and-research', 'search-engines']"
google.com.my,"['search-engines', 'translation']"
google.com.ni,"['search-engines', 'translation']"
